"","lab_number","sample_code","year","site","plot","top","bottom","pH","bray_p","olsen_p","total_carbon","inorganic_carbon","total_p","lead","bulk_density","ksat","k","loi_om","depth_increment_height","dry_mass","radius"
"1",1,"18.001.0-10",2018,1,1,0,10,7.2,42,NA,2.928,NA,737,83,1.12137469200711,NA,NA,5.942781918,10,38.84,1.05
"2",2,"18.001.10-20",2018,1,1,10,20,7.6,43,19,0.862,1.3,408,183,1.39594403600783,NA,NA,2.157378618,10,48.35,1.05
"3",3,"18.001.20-40",2018,1,1,20,40,8,44,18,0.893,1.5,281,27,0.996216110908998,NA,NA,1.678583266,20,69.01,1.05
"4",4,"18.001.40-60",2018,1,1,40,60,8,50,23,0.845,2.2,408,61,1.11487857188091,NA,NA,2.123556663,20,77.23,1.05
"5",5,"18.001.60-80",2018,1,1,60,80,7.9,65,22,0.893,1.5,599,60,1.59501402831959,NA,NA,2.014448098,20,110.49,1.05
"6",6,"18.001.80-100",2018,1,1,80,100,7.9,51,21,0.741,0.8,453,34,0.686712076451833,NA,NA,1.137868458,20,47.57,1.05
"7",7,"18.002.0-10",2018,2,2,0,10,6.1,278,NA,8.254,NA,1808,42,0.636619772367581,NA,NA,15.86622642,10,22.05,1.05
"8",8,"18.002.10-20",2018,2,2,10,20,6.7,130,NA,4.729,NA,974,49,0.923603923720586,NA,NA,11.37026239,10,31.99,1.05
"9",9,"18.002.20-40",2018,2,2,20,40,6.9,127,NA,2.008,NA,833,58,1.02956286089016,NA,NA,5.088357227,20,71.32,1.05
"10",10,"18.002.40-60",2018,2,2,40,60,7.4,56,NA,0.641,0.3,336,26,1.40604911175969,NA,NA,2.857814889,20,97.4,1.05
"11",11,"18.002.60-80",2018,2,2,60,80,7.6,NA,44,0.762,0.6,381,18,1.49872709222681,NA,NA,2.599523965,20,103.82,1.05
"12",12,"18.002.80-100",2018,2,2,80,100,7.4,63,NA,0.827,0.9,379,40,1.07763414982404,NA,NA,NA,20,74.65,1.05
"13",13,"18.003.0-10",2018,3,3,0,10,NA,NA,NA,NA,NA,NA,28,0.271104746600072,NA,NA,30.8883293,10,9.39,1.05
"14",14,"18.003.10-20",2018,3,3,10,20,6.5,182,NA,6.43,NA,1666,32,0.847671497356562,NA,NA,13.89697568,10,29.36,1.05
"15",15,"18.003.20-40",2018,3,3,20,40,6.3,329,NA,11.21,NA,2391,30,0.317732453283684,NA,NA,16.63141002,20,22.01,1.05
"16",16,"18.003.40-60",2018,3,3,40,60,6.7,145,NA,1.92,NA,1931,10,1.22747798740171,NA,NA,5.075337034,20,85.03,1.05
"17",17,"18.003.60-80",2018,3,3,60,80,6.3,215,NA,3.543,NA,1266,29,0.705334287480273,NA,NA,8.526983367,20,48.86,1.05
"18",18,"18.003.80-100",2018,3,3,80,100,6.7,213,NA,1.881,NA,882,36,2.48281711223357,NA,NA,4.632337796,20,171.99,1.05
"19",19,"18.004.0-10",2018,4,4,0,10,NA,NA,NA,NA,NA,NA,84,0.390055924022042,NA,NA,2.355808286,10,13.51,1.05
"20",20,"18.004.10-20",2018,4,4,10,20,NA,NA,NA,NA,NA,NA,67,0.44375718373196,NA,NA,3.575806686,10,15.37,1.05
"21",21,"18.004.20-40",2018,4,4,20,40,8.1,10,2,1.984,2.8,384,100,0.392221297397442,NA,NA,2.699700266,20,27.17,1.05
"22",22,"18.004.40-60",2018,4,4,40,60,NA,NA,NA,NA,NA,NA,59,0.232416742292927,NA,NA,2.431828891,20,16.1,1.05
"23",23,"18.004.60-80",2018,4,4,60,80,NA,NA,NA,NA,NA,NA,107,0.208597635163527,NA,NA,2.372328146,20,14.45,1.05
"24",24,"18.004.80-100",2018,4,4,80,100,NA,NA,NA,NA,NA,NA,35,0.23530390679346,NA,NA,1.223214286,20,16.3,1.05
"25",25,"18.005.0-10",2018,5,5,0,10,6.8,37,NA,2.326,NA,391,81,1.27208467893495,NA,NA,4.95383699,10,44.06,1.05
"26",26,"18.005.10-20",2018,5,5,10,20,7.6,29,10,1.163,1.2,376,46,1.73114383451974,NA,NA,2.673337376,10,59.96,1.05
"27",27,"18.005.20-40",2018,5,5,20,40,7.7,23,8,1.014,1.5,281,48,1.19716276014611,NA,NA,1.983394834,20,82.93,1.05
"28",28,"18.005.40-60",2018,5,5,40,60,7.8,23,6,0.624,0.9,227,31,1.27367261941024,NA,NA,1.865558585,20,88.23,1.05
"29",29,"18.005.60-80",2018,5,5,60,80,7.6,38,15,0.491,0.3,382,17,1.6871145758866,NA,NA,2.525812572,20,116.87,1.05
"30",30,"18.005.80-100",2018,5,5,80,100,7.8,22,8,0.453,0.8,372,8,1.67383361918415,NA,NA,1.810336741,20,115.95,1.05
"31",31,"18.006.0-10",2018,6,6,0,10,6.5,154,NA,7.061,NA,1468,50,0.996071752683971,NA,NA,14.65731463,10,34.5,1.05
"32",32,"18.006.10-20",2018,6,6,10,20,6.6,135,NA,6.264,NA,1105,39,1.04861814659368,NA,NA,12.02948732,10,36.32,1.05
"33",33,"18.006.20-40",2018,6,6,20,40,6.6,181,NA,5.271,NA,1063,32,0.506986086293639,NA,NA,13.25253095,20,35.12,1.05
"34",34,"18.006.40-60",2018,6,6,40,60,6.8,155,NA,2.764,NA,756,41,0.79238229717135,NA,NA,8.710248997,20,54.89,1.05
"35",35,"18.006.60-80",2018,6,6,60,80,6.8,99,NA,2.168,NA,631,20,1.24754378068042,NA,NA,7.493488279,20,86.42,1.05
"36",36,"18.006.80-100",2018,6,6,80,100,7,108,NA,1.757,NA,484,71,1.8495175790416,NA,NA,6.206587497,20,128.12,1.05
"37",37,"18.007.0-10",2018,7,7,0,10,6.4,61,NA,2.851,NA,636,115,1.18373744521863,NA,NA,8.039132284,10,41,1.05
"38",38,"18.007.10-20",2018,7,7,10,20,6.7,44,NA,1.24,NA,454,73,1.35408015075009,NA,NA,5.758640453,10,46.9,1.05
"39",39,"18.007.20-40",2018,7,7,20,40,6.9,64,NA,2.248,NA,581,131,1.18720204261927,NA,NA,7.537907462,20,82.24,1.05
"40",40,"18.007.40-60",2018,7,7,40,60,7.1,65,NA,1.51,NA,559,59,1.50161425672734,NA,NA,6.91141261,20,104.02,1.05
"41",41,"18.007.60-80",2018,7,7,60,80,6.5,63,NA,1.594,NA,536,26,0.534125432598651,NA,NA,7.253455525,20,37,1.05
"42",42,"18.007.80-100",2018,7,7,80,100,7.2,54,NA,1.384,NA,503,198,0.89920738369108,NA,NA,5.590384268,20,62.29,1.05
"43",43,"18.008.0-10",2018,8,8,0,10,5.6,30,NA,3.772,NA,647,92,1.72565822196872,NA,NA,10.00432207,10,59.77,1.05
"44",44,"18.008.10-20",2018,8,8,10,20,6,23,NA,1.483,NA,454,45,1.22704491272663,NA,NA,6.748880606,10,42.5,1.05
"45",45,"18.008.20-40",2018,8,8,20,40,5.6,14,NA,0.725,NA,365,14,0.514348355769998,NA,NA,5.110797119,20,35.63,1.05
"46",46,"18.008.40-60",2018,8,8,40,60,6.6,17,NA,0.475,NA,329,13,0.973118794904731,NA,NA,3.494961409,20,67.41,1.05
"47",47,"18.008.60-80",2018,8,8,60,80,6.4,10,NA,0.313,NA,185,11,1.33473614859652,NA,NA,0.8825326977,20,92.46,1.05
"48",48,"18.008.80-100",2018,8,8,80,100,6,43,NA,2.657,NA,375,84,0.4732062616374,NA,NA,NA,20,32.78,1.05
"49",49,"18.009.0-10",2018,9,9,0,10,6.1,70,NA,3.265,NA,745,87,1.30846295164167,NA,NA,9.654491609,10,45.32,1.05
"50",50,"18.009.10-20",2018,9,9,10,20,6.1,47,NA,1.679,NA,512,58,0.853157109907575,NA,NA,6.86291762,10,29.55,1.05
"51",51,"18.009.20-40",2018,9,9,20,40,7,64,NA,1.53,NA,579,98,0.655097625170994,NA,NA,5.529402784,20,45.38,1.05
"52",52,"18.009.40-60",2018,9,9,40,60,7.7,20,14,0.558,0.9,410,12,1.27150724603484,NA,NA,2.892124754,20,88.08,1.05
"53",53,"18.009.60-80",2018,9,9,60,80,7.3,17,NA,0.251,NA,368,18,0.748641754988271,NA,NA,2.421788552,20,51.86,1.05
"54",54,"18.009.80-100",2018,9,9,80,100,7.6,16,5,0.253,0.2,311,10,1.36086498732635,NA,NA,1.228909595,20,94.27,1.05
"55",55,"18.010.0-10",2018,10,10,0,10,7.1,20,NA,4.41,NA,509,51,1.08182053834981,NA,NA,11.66293011,10,37.47,1.05
"56",56,"18.010.10-20",2018,10,10,10,20,7.2,13,NA,3.144,NA,487,48,0.415174255176681,NA,NA,9.818112561,10,14.38,1.05
"57",57,"18.010.20-40",2018,10,10,20,40,7.7,5,4,2.38,5.7,430,22,1.05843450589549,NA,NA,8.722385593,20,73.32,1.05
"58",58,"18.010.40-60",2018,10,10,40,60,7.4,28,NA,1.563,0.4,397,14,1.16959033916602,NA,NA,7.436328688,20,81.02,1.05
"59",59,"18.010.60-80",2018,10,10,60,80,7.2,24,NA,0.982,NA,322,12.5,0.870624455135801,NA,NA,7.548695147,20,60.31,1.05
"60",60,"18.010.80-100",2018,10,10,80,100,7.5,16,7,0.537,0.4,199,NA,1.1462043067117,NA,NA,4.645578187,20,79.4,1.05
"61",61,"18.011.0-10",2018,11,11,0,10,7.1,23,NA,3.851,NA,602,111.5,NA,NA,NA,10.2976289,10,NA,1.05
"62",62,"18.011.10-20",2018,11,11,10,20,6.8,20,NA,3.145,NA,455,107.5,NA,NA,NA,9.502519029,10,NA,1.05
"63",63,"18.011.20-40",2018,11,11,20,40,7.2,24,NA,2.347,NA,330,41.5,NA,NA,NA,8.979409602,20,NA,1.05
"64",64,"18.011.40-60",2018,11,11,40,60,7.5,19,14,2.816,4.3,509,48,NA,NA,NA,9.3526663,20,NA,1.05
"65",65,"18.011.60-80",2018,11,11,60,80,7.4,19,NA,3.265,0.5,476,36.5,NA,NA,NA,10.50247629,20,NA,1.05
"66",66,"18.011.80-100",2018,11,11,80,100,7.5,41,26,1.219,0.2,288,10,NA,NA,NA,6.8905897,20,NA,1.05
"67",67,"18.012.0-10",2018,12,12,0,10,6.4,19,NA,4.148,NA,562,71,NA,NA,NA,11.53647545,10,NA,1.05
"68",68,"18.012.10-20",2018,12,12,10,20,6.3,19,NA,2.979,NA,501,81,NA,NA,NA,250.1431837,10,NA,1.05
"69",69,"18.012.20-40",2018,12,12,20,40,6.5,15,NA,2.08,NA,475,30,NA,NA,NA,8.999045778,20,NA,1.05
"70",70,"18.012.40-60",2018,12,12,40,60,7.2,13,NA,2.286,NA,380,25,NA,NA,NA,8.502219649,20,NA,1.05
"71",71,"18.012.60-80",2018,12,12,60,80,7,28,NA,2.633,NA,422,14.5,NA,NA,NA,11.29637536,20,NA,1.05
"72",72,"18.012.80-100",2018,12,12,80,100,7,28,NA,1.613,NA,376,13.5,NA,NA,NA,11.49211194,20,NA,1.05
"73",73,"18.013.0-10",2018,13,13,0,10,5.7,15,NA,3.704,NA,524,32,NA,NA,NA,10.85717156,10,NA,1.05
"74",74,"18.013.10-20",2018,13,13,10,20,5.4,10,NA,2.61,NA,478,37,NA,NA,NA,9.469534231,10,NA,1.05
"75",75,"18.013.20-40",2018,13,13,20,40,5.2,8,NA,1.773,NA,354,15.5,1.05785707299538,NA,NA,9.222004629,20,73.28,1.05
"76",76,"18.013.40-60",2018,13,13,40,60,5,7,NA,1.037,NA,258,10.5,NA,NA,NA,9.552784455,20,NA,1.05
"77",77,"18.013.60-80",2018,13,13,60,80,5.6,7,NA,0.492,NA,158,9,NA,NA,NA,5.011795412,20,NA,1.05
"78",78,"18.013.80-100",2018,13,13,80,100,5.8,10,NA,0.2,NA,151,3.5,1.60324244714611,NA,NA,1.281535833,20,111.06,1.05
"79",79,"18.014.0-10",2018,14,14,0,10,7.2,27,NA,2.694,NA,401,19,NA,NA,NA,NA,10,NA,1.05
"80",80,"18.014.10-20",2018,14,14,10,20,7.3,19,NA,2.345,NA,436,30.5,NA,NA,NA,NA,10,NA,1.05
"81",81,"18.014.20-40",2018,14,14,20,40,7.8,30,14,0.716,1.1,236,6,NA,NA,NA,NA,20,NA,1.05
"82",82,"18.014.40-60",2018,14,14,40,60,7.9,12,16,1.737,7.2,338,10.5,NA,NA,NA,NA,20,NA,1.05
"83",83,"18.014.60-80",2018,14,14,60,80,7.7,18,17,1.536,4.4,302,10,NA,NA,NA,NA,20,NA,1.05
"84",84,"18.014.80-100",2018,14,14,80,100,7.4,17,NA,0.897,0.8,229,7,1.20885577637327,NA,NA,NA,20,83.74,1.05
"85",85,"18.015.0-10",2018,15,15,0,10,6.7,63,NA,3.704,NA,737,22,0.798300984397443,NA,NA,NA,10,27.65,1.05
"86",86,"18.015.10-20",2018,15,15,10,20,6.9,43,NA,2.3,NA,612,24,2.77716353306293,NA,NA,NA,10,96.19,1.05
"87",87,"18.015.20-40",2018,15,15,20,40,7.4,25,NA,1.541,0.9,478,15.5,1.38858176653147,NA,NA,NA,20,96.19,1.05
"88",88,"18.015.40-60",2018,15,15,40,60,7.4,30,NA,1.65,0.7,389,12.5,0,NA,NA,NA,20,NA,1.05
"89",89,"18.015.60-80",2018,15,15,60,80,6.4,26,NA,1.267,NA,336,5,0,NA,NA,NA,20,NA,1.05
"90",90,"18.015.80-100",2018,15,15,80,100,5.1,12,NA,0.952,NA,268,4,0.745898948712765,NA,NA,NA,20,51.67,1.05
"91",91,"18.016.0-10",2018,16,16,0,10,7.1,24,NA,4.222,NA,439,44.5,0.637485921717741,NA,NA,10.66905044,10,22.08,1.05
"92",92,"18.016.10-20",2018,16,16,10,20,7.3,22,NA,2.589,NA,408,51.5,1.92949203570637,NA,NA,7.736382516,10,66.83,1.05
"93",93,"18.016.20-40",2018,16,16,20,40,7.4,18,NA,2.25,0.8,421,66,1.63427946552685,NA,NA,6.370830412,20,113.21,1.05
"94",94,"18.016.40-60",2018,16,16,40,60,7.6,21,10,1.48,0.8,313,43.5,2.39779011769286,NA,NA,5.192242914,20,166.1,1.05
"95",95,"18.016.60-80",2018,16,16,60,80,7.5,24,10,2.97,1.8,349,40.5,2.32416742292927,NA,NA,5.949986342,20,161,1.05
"96",96,"18.016.80-100",2018,16,16,80,100,7.6,28.5,16,2.717,0.9,416,16,2.37844611553929,NA,NA,6.860770466,20,164.76,1.05
"97",97,"18.017.0-10",2018,17,17,0,10,7.5,40,19,3.813,1,431,52.5,0.947278672624959,NA,NA,7.383281797,10,32.81,1.05
"98",98,"18.017.10-20",2018,17,17,10,20,7.5,33,19,3.48,1.3,747,29,0.979903631480985,NA,NA,5.609818461,10,33.94,1.05
"99",99,"18.017.20-40",2018,17,17,20,40,7.7,29,16,1.943,1.3,334,31,1.86712928249485,NA,NA,4.925725122,20,129.34,1.05
"100",100,"18.017.40-60",2018,17,17,40,60,7.7,34,18,2.337,1.2,297,33.5,0.161103779129755,NA,NA,5.480220477,20,11.16,1.05
"101",101,"18.017.60-80",2018,17,17,60,80,8,16,7,1.319,4,224,10,1.98117228026592,NA,NA,5.247717559,20,137.24,1.05
"102",102,"18.017.80-100",2018,17,17,80,100,8.1,21,10,1.153,2.9,263,18.5,2.17504537647672,NA,NA,5.976717411,20,150.67,1.05
"103",103,"18.018.0-10",2018,18,18,0,10,7.2,45,NA,3.465,NA,472,45.5,1.10318555565375,NA,NA,NA,10,38.21,1.05
"104",104,"18.018.10-20",2018,18,18,10,20,7.4,41,NA,2.469,1,331,36,1.51431778052969,NA,NA,NA,10,52.45,1.05
"105",105,"18.018.20-40",2018,18,18,20,40,7.6,39,19,2.105,1.2,325,44.5,1.66084137893175,NA,NA,NA,20,115.05,1.05
"106",106,"18.018.40-60",2018,18,18,40,60,7.5,42,18,2.079,1.3,500,35,2.57895969010132,NA,NA,NA,20,178.65,1.05
"107",107,"18.018.60-80",2018,18,18,60,80,7.6,39,22,2.313,1.4,323,30,2.31593900410275,NA,NA,NA,20,160.43,1.05
"108",108,"18.018.80-100",2018,18,18,80,100,7.5,43,27,2.163,1.7,461,62,2.41742283629649,NA,NA,NA,20,167.46,1.05
"109",109,"18.019.0-10",2018,19,19,0,10,6.3,8,NA,3.625,NA,547,35,0,NA,NA,10.59736073,10,NA,1.05
"110",110,"18.019.10-20",2018,19,19,10,20,5.9,10,NA,2.301,NA,496,22.5,1.16843547336581,NA,NA,8.411286612,10,40.47,1.05
"111",111,"18.019.20-40",2018,19,19,20,40,6.3,13,NA,1.298,NA,333,0,1.54448864956026,NA,NA,4.513510085,20,106.99,1.05
"112",112,"18.019.40-60",2018,19,19,40,60,6.9,22,NA,0.819,NA,351,4.5,1.34426379144828,NA,NA,10.78707664,20,93.12,1.05
"113",113,"18.019.60-80",2018,19,19,60,80,6.8,16,NA,0.397,NA,281,3.5,1.57090620474014,NA,NA,2.933761174,20,108.82,1.05
"114",114,"18.019.80-100",2018,19,19,80,100,6.7,13,NA,0.345,NA,220,3.5,1.10737194417953,NA,NA,2.176015474,20,76.71,1.05
"115",115,"18.020.0-10",2018,20,20,0,10,7.1,15,NA,3.424,NA,414,61.5,0,NA,NA,8.823823074,10,NA,1.05
"116",116,"18.020.10-20",2018,20,20,10,20,7.1,7,NA,3.391,NA,484,48,1.08644000155066,NA,NA,9.111706138,10,37.63,1.05
"117",117,"18.020.20-40",2018,20,20,20,40,7.7,5,12,2.131,NA,460,18.5,1.80563267863349,NA,NA,5.345345345,20,125.08,1.05
"118",118,"18.020.40-60",2018,20,20,40,60,7.6,22,13,1.317,0.5,228,27.5,2.34596551490829,NA,NA,3.328487643,20,162.51,1.05
"119",119,"18.020.60-80",2018,20,20,60,80,7.3,27,NA,1.683,NA,332,21,1.44791299701742,NA,NA,4.997608198,20,100.3,1.05
"120",120,"18.020.80-100",2018,20,20,80,100,7.4,27,NA,1.979,0.6,319,17,1.58303229564238,NA,NA,5.649129201,20,109.66,1.05
"121",121,"18.021.0-10",2018,21,21,0,10,6.9,42,NA,3.438,NA,589,33,1.39536660310772,NA,NA,9.706950469,10,48.33,1.05
"122",122,"18.021.10-20",2018,21,21,10,20,6.9,47,NA,2.84,NA,379,26.5,1.58101128049201,NA,NA,7.706403595,10,54.76,1.05
"123",123,"18.021.20-40",2018,21,21,20,40,7.2,40,NA,1.591,NA,405,13.5,1.84417632471561,NA,NA,5.397390273,20,127.75,1.05
"124",124,"18.021.40-60",2018,21,21,40,60,7.3,26,NA,0.833,NA,319,7,2.26353696841807,NA,NA,3.07066498,20,156.8,1.05
"125",125,"18.021.60-80",2018,21,21,60,80,7.5,20,8,0.412,0.2,355,0,2.14574065679631,NA,NA,2.214111922,20,148.64,1.05
"126",126,"18.021.80-100",2018,21,21,80,100,7.6,16,7,0.454,0.5,199,4.5,1.73215434209492,NA,NA,2.143969629,20,119.99,1.05
"127",127,"18.022.0-10",2018,22,22,0,10,6.1,130,NA,4.06,NA,950,54,1.05266017689442,NA,NA,NA,10,36.46,1.05
"128",128,"18.022.10-20",2018,22,22,10,20,6.1,149,NA,4.153,NA,1012,57,0.702447122979739,NA,NA,NA,10,24.33,1.05
"129",129,"18.022.20-40",2018,22,22,20,40,6.4,60,NA,1.783,NA,561,34.5,1.05930065524565,NA,NA,NA,20,73.38,1.05
"130",130,"18.022.40-60",2018,22,22,40,60,6.7,50,NA,1.978,NA,525,20.5,1.03432668231604,NA,NA,NA,20,71.65,1.05
"131",131,"18.022.60-80",2018,22,22,60,80,6.7,45,NA,1.64,NA,480,9,0.517957311395665,NA,NA,NA,20,35.88,1.05
"132",132,"18.022.80-100",2018,22,22,80,100,6.7,20,NA,1.015,NA,391,11.5,0.864417051459655,NA,NA,NA,20,59.88,1.05
"133",133,"18.023.0-10",2018,23,23,0,10,6,41,NA,4.032,NA,756,38.5,0.770584205192324,NA,NA,NA,10,26.69,1.05
"134",134,"18.023.10-20",2018,23,23,10,20,6.1,28,NA,2.677,NA,561,26.5,0.669822164123714,NA,NA,NA,10,23.2,1.05
"135",135,"18.023.20-40",2018,23,23,20,40,6.4,26,NA,2.227,NA,601,21.5,0.68252568792606,NA,NA,NA,20,47.28,1.05
"136",136,"18.023.40-60",2018,23,23,40,60,6.1,27,NA,1.749,NA,480,12,0.637052847042661,NA,NA,NA,20,44.13,1.05
"137",137,"18.023.60-80",2018,23,23,60,80,5.4,9,NA,0.584,NA,327,10,0.735360798285818,NA,NA,NA,20,50.94,1.05
"138",138,"18.023.80-100",2018,23,23,80,100,5.5,10,NA,0.804,NA,321,9,0.80450838807359,NA,NA,NA,20,55.73,1.05
"139",139,"19.001.0-10",2019,1,1,0,10,6.8,66,NA,3.185,NA,632,213,1.20567989542268,NA,NA,NA,10,41.76,1.05
"140",140,"19.001.10-20",2019,1,1,10,20,7.1,53,NA,2.782,NA,605,141,1.0076204106861,NA,NA,NA,10,34.9,1.05
"141",141,"19.001.20-40",2019,1,1,20,40,7.4,32,NA,2.097,0.3,376,41,1.0206126509385,NA,NA,NA,20,70.7,1.05
"142",142,"19.001.40-60",2019,1,1,40,60,7.6,22,14,1.027,0.4,268,13,1.46422547644544,NA,NA,NA,20,101.43,1.05
"143",143,"19.001.60-80",2019,1,1,60,80,7.7,45,26,0.825,0.1,415,15,1.58880662464345,NA,NA,NA,20,110.06,1.05
"144",144,"19.001.80-100",2019,1,1,80,100,7.8,33,17,0.256,0.3,157,12,1.65145809430502,NA,NA,NA,20,114.4,1.05
"145",145,"19.002.0-10",2019,2,2,0,10,6.5,70,NA,4.14,NA,776,300,0.851713527657308,NA,NA,NA,10,29.5,1.05
"146",146,"19.002.10-20",2019,2,2,10,20,7,83,NA,3.22,NA,836,197,1.28247847113687,NA,NA,NA,10,44.42,1.05
"147",147,"19.002.20-40",2019,2,2,20,40,7.4,51,NA,1.238,0.1,371,41,1.2133308813491,NA,NA,NA,20,84.05,1.05
"148",148,"19.002.40-60",2019,2,2,40,60,7.5,42,19,1.024,0.4,296,48,1.56902954781479,NA,NA,NA,20,108.69,1.05
"149",149,"19.002.60-80",2019,2,2,60,80,7.4,23,NA,0.656,0.2,263,34,1.63557868955209,NA,NA,NA,20,113.3,1.05
"150",150,"19.002.80-100",2019,2,2,80,100,7.5,25,17,0.328,0.2,295,13,1.402295797909,NA,NA,NA,20,97.14,1.05
"151",151,"19.003.0-10",2019,3,3,0,10,6.6,65,NA,4.771,NA,804,261,0.89704201031568,NA,NA,NA,10,31.07,1.05
"152",152,"19.003.10-20",2019,3,3,10,20,7.2,72,NA,2.824,NA,554,113,1.10780501885461,NA,NA,NA,10,38.37,1.05
"153",153,"19.003.20-40",2019,3,3,20,40,7.2,64,NA,2.179,NA,509,69,1.14071869416069,NA,NA,NA,20,79.02,1.05
"154",154,"19.003.40-60",2019,3,3,40,60,7.3,38,NA,2.394,NA,442,26,1.26241267785816,NA,NA,NA,20,87.45,1.05
"155",155,"19.003.60-80",2019,3,3,60,80,7.2,18,NA,3.42,NA,496,33,1.2095775674984,NA,NA,NA,20,83.79,1.05
"156",156,"19.003.80-100",2019,3,3,80,100,7.4,19,NA,1.251,0.2,245,9,1.66906979775827,NA,NA,NA,20,115.62,1.05
"157",157,"19.004.0-10",2019,4,4,0,10,7,53,NA,3.513,NA,427,41,1.23484025687807,NA,NA,NA,10,42.77,1.05
"158",158,"19.004.10-20",2019,4,4,10,20,7.4,37,NA,1.995,0.5,309,39,1.42856899486385,NA,NA,NA,10,49.48,1.05
"159",159,"19.004.20-40",2019,4,4,20,40,7.7,25,9,1.034,0.8,327,48,1.79884784205724,NA,NA,NA,20,124.61,1.05
"160",160,"19.004.40-60",2019,4,4,40,60,7.7,24,8,0.949,0.5,188,20,1.96760260711341,NA,NA,NA,20,136.3,1.05
"161",161,"19.004.60-80",2019,4,4,60,80,7.5,33.5,13,0.53,0.3,219,17,2.01495210492215,NA,NA,NA,20,139.58,1.05
"162",162,"19.004.80-100",2019,4,4,80,100,7.6,19,7,0.415,0.2,154,14,1.72291541569322,NA,NA,NA,20,119.35,1.05
"163",163,"19.005.0-10",2019,5,5,0,10,7.3,41,NA,2.423,NA,755,52,2.00686804432066,NA,NA,NA,10,69.51,1.05
"164",164,"19.005.10-20",2019,5,5,10,20,7.6,30,11,1.251,0.5,432,31,1.50507885412798,NA,NA,NA,10,52.13,1.05
"165",165,"19.005.20-40",2019,5,5,20,40,7.7,39,13,1.098,0.4,382,48,1.98290457896624,NA,NA,NA,20,137.36,1.05
"166",166,"19.005.40-60",2019,5,5,40,60,7.6,42,13,0.646,0.3,649,33,1.67008030533346,NA,NA,NA,20,115.69,1.05
"167",167,"19.005.60-80",2019,5,5,60,80,7.7,38,14,0.264,0.2,173,31,1.78513381067971,NA,NA,NA,20,123.66,1.05
"168",168,"19.005.80-100",2019,5,5,80,100,7.6,32,10,0.145,0.2,236,6,1.74904425442304,NA,NA,NA,20,121.16,1.05
"169",169,"19.006.0-10",2019,6,6,0,10,7,52,NA,3.726,NA,484,37.5,1.16468215951511,NA,NA,NA,10,40.34,1.05
"170",170,"19.006.10-20",2019,6,6,10,20,7.7,12,14,2.467,3.6,315,39,1.79552760288163,NA,NA,NA,10,62.19,1.05
"171",171,"19.006.20-40",2019,6,6,20,40,7.8,30,11,1.08,0.5,303,24.5,1.12180776668219,NA,NA,NA,20,77.71,1.05
"172",172,"19.006.40-60",2019,6,6,40,60,8,18,6,0.513,0.2,157,16,1.56773032378955,NA,NA,NA,20,108.6,1.05
"173",173,"19.006.60-80",2019,6,6,60,80,7.9,14,5,0.864,0.2,127,15,1.51893724373054,NA,NA,NA,20,105.22,1.05
"174",174,"19.006.80-100",2019,6,6,80,100,7.8,13,5,0.381,0.3,129,9,1.36274164425169,NA,NA,NA,20,94.4,1.05
"175",175,"19.007.0-10",2019,7,7,0,10,7.3,19,NA,3.376,NA,382,29.5,1.71006753366584,NA,NA,NA,10,59.23,1.05
"176",176,"19.007.10-20",2019,7,7,10,20,7.6,24,9,1.981,0.8,227,44.5,1.57061748829009,NA,NA,NA,10,54.4,1.05
"177",177,"19.007.20-40",2019,7,7,20,40,7.9,26,10,1.279,0.7,189,45.5,1.60627396987167,NA,NA,NA,20,111.27,1.05
"178",178,"19.007.40-60",2019,7,7,40,60,7.9,32,12,1.208,0.8,232,52.5,1.02191187496374,NA,NA,NA,20,70.79,1.05
"179",179,"19.007.60-80",2019,7,7,60,80,7.8,55,24,1.098,0.9,280,69.5,1.14115176883577,NA,NA,NA,20,79.05,1.05
"180",180,"19.007.80-100",2019,7,7,80,100,7.9,43,18,0.933,0.7,269,76.5,1.87001644699539,NA,NA,NA,20,129.54,1.05
"181",181,"19.008.0-10",2019,8,8,0,10,7.2,106,NA,1.145,NA,556,4.5,1.819202351786,NA,NA,NA,10,63.01,1.05
"182",182,"19.008.10-20",2019,8,8,10,20,7.1,101,NA,1.143,NA,518,0,1.5365489471838,NA,NA,NA,10,53.22,1.05
"183",183,"19.008.20-40",2019,8,8,20,40,7.9,32,14,1.01,3.1,317,7,2.09723629318735,NA,NA,NA,20,145.28,1.05
"184",184,"19.008.40-60",2019,8,8,40,60,8,23,11,0.828,3.7,259,4,2.51558642931462,NA,NA,NA,20,174.26,1.05
"185",185,"19.008.60-80",2019,8,8,60,80,8.1,18,9,0.693,3.8,267,0,2.5225156241159,NA,NA,NA,20,174.74,1.05
"186",186,"19.008.80-100",2019,8,8,80,100,8,22,9,0.888,3.1,266,3.5,2.43445710684964,NA,NA,NA,20,168.64,1.05
"187",187,"19.009.0-10",2019,9,9,0,10,7.4,57,NA,2.471,0.5,367,24,1.50219168962745,NA,NA,NA,10,52.03,1.05
"188",188,"19.009.10-20",2019,9,9,10,20,7.5,28,12,1.851,NA,368,12,0.835834122904376,NA,NA,NA,10,28.95,1.05
"189",189,"19.009.20-40",2019,9,9,20,40,8,9,2,0.8,1.3,350,3,1.50782166040349,NA,NA,NA,20,104.45,1.05
